Dashboard,Customers & CRM,Leads & Sales Pipeline,Quotes,Sales Orders,Invoicing,Payments,Products & Pricing,Purchasing,Suppliers,Inventory,Warehousing,Manufacturing (BOM),Work Orders,Quality,Shipping & Delivery,Returns & RMA,Support Tickets,Projects,Time & Attendance,HR,Expenses,Assets & Maintenance,Reporting,Admin & Security
"Today summary cards (orders, invoices due, low stock)","Customer profile with contacts and addresses","Lead capture form (manual entry)","Quote header + line items + totals","Sales order header + lines + taxes","Invoice numbering series per company","Record payment against invoice (partial allowed)","Product catalog with SKU, name, UoM","Purchase request creation (internal)","Supplier profile with contacts and terms","Stock on hand per SKU per location","Location master (warehouse/aisle/bin)","BOM versioning with effective dates","Work order create from sales order","Quality checklist templates per process","Shipment packing list generation","RMA request intake form","Ticket intake with category + priority","Project creation with status and owner","Clock-in/clock-out simple timesheet","Employee profile (personal + job info)","Expense claim creation with line items","Asset register (serial, purchase date)","Saved report templates library","Role-based access control (RBAC) baseline"
"Overdue invoices widget","Customer segmentation tags (industry, tier)","Pipeline stages configurable","Quote PDF export (server-side)","Order confirmation PDF export","Invoice PDF export with template","Payment method list (cash/card/bank)","Price lists by customer group","Purchase order (PO) creation from request","Supplier rating score (manual)","Stock movement log (audit trail)","Put-away task list (manual)","BOM component substitution list","Work order materials reservation","Nonconformance (NCR) record","Carrier selection list (manual)","RMA approval step","Ticket SLA target fields (manual)","Project milestones list","Timesheet approval workflow","Departments/teams management","Mileage expense type with rate","Preventive maintenance schedule","Export reports to CSV","Two-factor auth optional (TOTP)"
"Low stock alerts list","Customer communication log (calls/emails manual)","Lead source tracking (web/referral/etc)","Quote status (draft/sent/accepted/rejected)","Order status (draft/confirmed/shipped/closed)","Invoice status (draft/sent/paid/void)","Bank account register (manual entries)","Discount rules (percent/fixed) per line","PO approval workflow (simple)","Supplier lead time field per SKU","Reorder point per SKU per location","Pick list generation for orders","BOM cost roll-up calculation","Work order routing steps list","Incoming inspection record","Shipment status tracking","Return reason codes list","Ticket assignment to agent","Project task board (kanban)","Overtime rule flags (manual)","Employee contract documents upload","Receipt attachment upload","Maintenance work request form","KPI dashboard export snapshot","Password policy (min length, complexity)"
"Recent activity feed (who changed what)","Multiple billing/shipping addresses per customer","Lead-to-opportunity conversion","Quote line item taxes","Backorder handling (allow/forbid)","Credit note creation","Payment reconciliation notes","Currency support (single base + optional foreign)","3-way match fields (PO/receipt/invoice)","Supplier contract file upload","Lot/batch tracking optional","Cycle count session creation","Make/buy flag per product","Work order time log per operation","Quality hold status on inventory","Print shipping labels (template, no paid API)","Return receipt to stock process","Canned responses library","Project budget tracking (planned vs actual)","Break tracking","Onboarding checklist per employee","Per diem expense type","Asset depreciation schedule (straight-line)","User activity audit report","IP allowlist (optional)"
"Quick search bar across entities","Customer credit limit and alerts","Opportunity value + probability","Quote validity date and reminders","Sales order allocation by available stock","Invoice due date calculation by terms","Multi-payment per invoice","Tiered pricing (qty breaks)","Supplier portal (read-only link, optional)","Supplier product catalog mapping","Stock valuation method selector (FIFO avg simple)","Warehouse transfer order between locations","BOM scrap factor per component","Work order priority and scheduling date","Quality sampling plan fields","Delivery route sheet export","Return disposition (restock/scrap/repair)","Ticket tags and filters","Project risk register","Time off request (vacation)","Leave balances tracking","Expense approval workflow","Asset location history","Report scheduling (email optional, free SMTP)","Session timeout and device logout"
"Custom dashboard layout per user","Customer account owner assignment","Pipeline forecast by month","Quote version history","Order split shipments support","Invoice reminders queue","Cash drawer open/close log","Tax rules by region","Supplier RFQ (request for quote) records","Supplier bank details (secured)","Inventory adjustments with reason codes","Barcode label print templates","BOM attachments (drawings)","Work order Gantt-like simple schedule","Quality CAPA (corrective action) tasks","Proof of delivery upload","Warranty return tracking","Ticket watcher/CC list","Project document repository","Timesheet export to payroll CSV","HR policies document page","Expense categories management","Maintenance parts usage log","Report builder (filters, grouping)","Field-level permissions (read vs write)"
"Theme (light/dark) setting","Customer portal link (read-only invoices)","Opportunity notes and next steps","Quote to order conversion button","Order approvals for high value","Invoice locking after posting","Payment allocation auto-suggest","Promotions with start/end dates","Purchase order PDF export","Supplier contacts role tags","Inventory expiry date tracking","Warehouse picking routes (bin order)","BOM revision approval","Work order barcode traveler sheet","Quality defect codes list","Shipping cost estimation (manual)","RMA shipping label template","Ticket merge duplicates","Project change request log","Attendance anomaly flags","Employee emergency contacts","Expense policy rules (limits)","Asset maintenance history","Report permissions by role","Admin settings change log"
"Favorites/shortcuts bar","Customer merge duplicate tool","Lead assignment rules (round-robin)","Quote email compose template","Sales order line substitutions","Invoice batch generation","Record refunds","Product variants (size/color)","Purchase blanket orders","Supplier performance dashboard","Stock reservation by order","Wave picking batches","BOM phantom assemblies","Work order completion checklist","Quality calibration records","Shipment contents (packages)","Return restocking fee calculation","Ticket satisfaction rating field","Project time budget vs actual","Timesheet locking after payroll","Job titles and pay grades","Expense export to accounting CSV","Asset warranty dates tracking","Report drill-down links","API keys management"
"Notifications center (in-app)","Customer consent/marketing preferences","Lead import from CSV","Quote multi-currency totals","Order line discounts","Invoice tax breakdown details","SEPA/IBAN fields (optional)","Units of measure conversions","Purchase order receipt (GRN) entry","Supplier tax/VAT fields","Inventory multi-warehouse totals","Bin capacity tracking","BOM alternate routing (simple)","Work order yield and scrap recording","Quality trend charts","Shipment packing validation","Return inspection checklist","Ticket escalation rules (manual)","Project dependencies list","Shift scheduling (manual)","Employee training records","Expense recurring claims (templates)","Asset tagging (QR code)","Operational reports pack","Data retention settings"
"Pinned filters per list view","Customer documents upload","Opportunity stage change history","Quote approval workflow","Order promised date tracking","Invoice line item notes","Payment terms templates","Product categories and attributes","Purchase order change log","Supplier notes and tasks","Inventory ABC classification","Cross-dock flag for receipts","BOM bulk import CSV","Work order split into sub-orders","Quality quarantine location enforcement","Shipment batch printing","Return to vendor process","Ticket custom fields","Project portfolio view","Time rounding rules","HR incident reporting","Expense multi-currency (optional)","Maintenance technician assignment","Finance aging reports","SSO via SAML/OIDC (optional, self-hosted)"
