"page","idea"
"Dashboard","Today summary cards (orders, invoices due, low stock)"
"Customers & CRM","Customer profile with contacts and addresses"
"Leads & Sales Pipeline","Lead capture form (manual entry)"
"Quotes","Quote header + line items + totals"
"Sales Orders","Sales order header + lines + taxes"
"Invoicing","Invoice numbering series per company"
"Payments","Record payment against invoice (partial allowed)"
"Products & Pricing","Product catalog with SKU, name, UoM"
"Purchasing","Purchase request creation (internal)"
"Suppliers","Supplier profile with contacts and terms"
"Inventory","Stock on hand per SKU per location"
"Warehousing","Location master (warehouse/aisle/bin)"
"Manufacturing (BOM)","BOM versioning with effective dates"
"Work Orders","Work order create from sales order"
"Quality","Quality checklist templates per process"
"Shipping & Delivery","Shipment packing list generation"
"Returns & RMA","RMA request intake form"
"Support Tickets","Ticket intake with category + priority"
"Projects","Project creation with status and owner"
"Time & Attendance","Clock-in/clock-out simple timesheet"
"HR","Employee profile (personal + job info)"
"Expenses","Expense claim creation with line items"
"Assets & Maintenance","Asset register (serial, purchase date)"
"Reporting","Saved report templates library"
"Admin & Security","Role-based access control (RBAC) baseline"
"Dashboard","Overdue invoices widget"
"Customers & CRM","Customer segmentation tags (industry, tier)"
"Leads & Sales Pipeline","Pipeline stages configurable"
"Quotes","Quote PDF export (server-side)"
"Sales Orders","Order confirmation PDF export"
"Invoicing","Invoice PDF export with template"
"Payments","Payment method list (cash/card/bank)"
"Products & Pricing","Price lists by customer group"
"Purchasing","Purchase order (PO) creation from request"
"Suppliers","Supplier rating score (manual)"
"Inventory","Stock movement log (audit trail)"
"Warehousing","Put-away task list (manual)"
"Manufacturing (BOM)","BOM component substitution list"
"Work Orders","Work order materials reservation"
"Quality","Nonconformance (NCR) record"
"Shipping & Delivery","Carrier selection list (manual)"
"Returns & RMA","RMA approval step"
"Support Tickets","Ticket SLA target fields (manual)"
"Projects","Project milestones list"
"Time & Attendance","Timesheet approval workflow"
"HR","Departments/teams management"
"Expenses","Mileage expense type with rate"
"Assets & Maintenance","Preventive maintenance schedule"
"Reporting","Export reports to CSV"
"Admin & Security","Two-factor auth optional (TOTP)"
"Dashboard","Low stock alerts list"
"Customers & CRM","Customer communication log (calls/emails manual)"
"Leads & Sales Pipeline","Lead source tracking (web/referral/etc)"
"Quotes","Quote status (draft/sent/accepted/rejected)"
"Sales Orders","Order status (draft/confirmed/shipped/closed)"
"Invoicing","Invoice status (draft/sent/paid/void)"
"Payments","Bank account register (manual entries)"
