id,product
1,"Engraved name keychains (wood blanks cut from planks)"
2,"Pet ID tags (small engraved discs/rectangles)"
3,"Fridge magnets (engraved shapes + magnet discs)"
4,"Bag tags (engraved + hole + strap)"
5,"Bookmarks (thin strips, engraved, rounded edges)"
6,"Coasters (engraved set)"
7,"Coaster holder/stand"
8,"Trivets / hot pads (slotted or patterned)"
9,"Bottle opener handle (buy opener insert, mount to wood)"
10,"Wall-mounted bottle opener board (opener + catcher tray)"
11,"Wine-bottle caddy (single-bottle carrier)"
12,""
13,"Drink stir sticks (engraved set)"
14,"Tea bag holder/rest"
15,"Spoon rest (carved shallow dish)"
16,"Napkin ring set (simple bands)"
17,"Napkin holder (tabletop)"
18,"Recipe card holder (slot stand)"
19,"Tablet/phone stand (slot + cable notch)"
20,"Business card holder (engraved)"
21,"Desk pen holder (drilled/rotary hollowed holes)"
22,"Pencil tray (carved/sanded channel)"
23,"Desk organizer (small partitions + glue)"
24,"Cable organizer (grooved strip + label engravings)"
25,"Headphone stand (glued pieces)"
26,"Monitor riser (simple glued frame)"
27,"Laptop riser (angled stand)"
28,"Valet tray (key/wallet tray, carved/sanded)"
29,"Watch stand (T-bar)"
30,"Ring dish (small carved dish)"
31,"Jewelry box (small) (simple glued box + engraved lid)"
32,"Keepsake box (engraved name/date)"
33,"Card deck box (playing cards)"
34,"Dice box (for tabletop games)"
35,"Dice tray (shallow tray)"
36,"Board game token organizer (compartments)"
37,"Chess/checkers board (engraved grid)"
38,"Tic-tac-toe set (board + pieces)"
39,"Connect-4 style mini game (simple grid + discs)"
40,"Puzzle/brain teaser (sliding pieces)"
41,"Photo frame (engraved border)"
42,"Picture ledge shelf (small wall shelf)"
43,"Key holder board (hooks + engraved labels)"
44,"Mail sorter (wall-mounted)"
45,"Light switch plate cover (decorative)"
46,"Door sign (""Welcome"", ""Office"", ""Kids room"")"
47,"House number plaque (engraved/paint-filled)"
48,"Address sign (engraved)"
49,"Plant marker stakes (engraved herb/veg names)"
50,"Small planter box (glued/nailed)"
51,"Propagation station base (holes for glass tubes)"
52,"Plant stand (small tabletop)"
53,"Hanging plant tag plaques (engraved)"
54,"Birdhouse (simple)"
55,"Bird feeder (tray style)"
56,"Insect hotel (frame + compartments)"
57,"Dog leash holder (wall hook board)"
58,"Pet bowl stand (small)"
59,"Cat name plaque"
60,"Toy blocks (engraved letters)"
61,"Kids name puzzle (letters cut and sanded)"
62,"Growth chart ruler (engraved measurements)"
63,"Storytime book ends (pair)"
64,"Bookends (simple angled)"
65,"Shelf brackets (decorative) (small shelves)"
66,"Small wall shelf (floating-look simple)"
67,"Entryway catch-all shelf (small)"
68,"Candle holder (tea lights) (holes drilled/sanded)"
69,"Incense holder (groove + hole)"
70,"Soap dish (slats or grooves)"
71,"Toothbrush holder (holes)"
72,"Bathroom tray (counter organizer)"
73,"Razor stand (simple slot)"
74,"Makeup brush stand (holes)"
75,"Comb/hair tool organizer"
76,"Drawer dividers (cut strips)"
77,"Drawer pull/knob wooden covers (engraved)"
78,"Cabinet handle plaques (rustic style)"
79,"Christmas ornaments (engraved shapes)"
80,"Seasonal door hanger (round sign)"
81,"Gift tags (wood) (engraved)"
82,"Wedding place cards (engraved mini plaques)"
83,"Table number signs (small stands)"
84,"Ring bearer box (engraved)"
85,"Engraved cutting-board-style serving board (thin plank, decorative; not heavy duty)"
86,"Charcuterie board (small) (router/roundover with sanding)"
87,"Wall art panel (carved/engraved pattern)"
88,"Mandala/geometry plaque (engraved)"
89,"Map outline plaque (engraved silhouette)"
90,"Family name sign (raised/engraved lettering)"
91,"Clock face panel (buy cheap clock mechanism)"
92,"Desk name plate (engraved)"
93,"Tool rack (small) (for screwdrivers/pliers)"
94,"Drill-bit/driver holder (holes labeled)"
95,"Sandpaper organizer (slots)"
96,"Small parts tray (compartments)"
97,"Phone amplifier dock (carved horn channel)"
98,"Wall-mounted charging station shelf (slot + cable holes)"
99,"Wallet/EDC stand (simple angled)"
100,"Engraved “thank you” packaging tokens (small freebies for orders)"
